Region,Annee,Semaine_Epi,Pluviometrie_mm,Temperature_Moy_C,Taux_Couverture_MILDA,Campagne_Vaccinale_Active,Cas_Paludisme,Cas_Dengue
Centre (Ouaga),2013,1,1.1,28.3,84.6,0,592,7
Centre (Ouaga),2013,2,4.9,26.6,90.7,0,573,18
Centre (Ouaga),2013,3,1.5,28.2,76.0,0,388,27
Centre (Ouaga),2013,4,2.2,29.5,93.5,0,409,22
Centre (Ouaga),2013,5,0.2,26.0,79.7,0,369,21
Centre (Ouaga),2013,6,4.8,26.2,88.7,0,314,16
Centre (Ouaga),2013,7,4.4,30.5,80.1,0,456,16
Centre (Ouaga),2013,8,2.5,29.6,84.0,0,447,10
Centre (Ouaga),2013,9,4.7,27.5,79.2,0,306,11
Centre (Ouaga),2013,10,1.0,38.7,76.7,0,522,26
Centre (Ouaga),2013,11,0.8,40.8,76.0,0,300,16
Centre (Ouaga),2013,12,3.3,41.0,88.2,0,438,14
Centre (Ouaga),2013,13,3.4,38.2,94.9,0,476,7
Centre (Ouaga),2013,14,3.2,35.6,81.8,0,573,9
Centre (Ouaga),2013,15,2.7,36.6,80.3,0,451,16
Centre (Ouaga),2013,16,3.5,34.7,90.0,0,349,25
Centre (Ouaga),2013,17,1.4,40.0,80.7,0,522,27
Centre (Ouaga),2013,18,0.8,35.6,76.9,0,546,26
Centre (Ouaga),2013,19,3.0,32.7,87.0,0,514,6
Centre (Ouaga),2013,20,4.9,32.4,79.1,0,483,27
Centre (Ouaga),2013,21,4.7,27.4,81.5,0,579,15
Centre (Ouaga),2013,22,84.2,30.1,84.4,0,498,19
Centre (Ouaga),2013,23,111.8,30.5,93.9,0,427,22
Centre (Ouaga),2013,24,25.6,28.2,88.9,0,346,28
Centre (Ouaga),2013,25,89.7,29.7,92.7,0,320,28
Centre (Ouaga),2013,26,105.1,27.0,94.7,0,2173,16
Centre (Ouaga),2013,27,38.6,28.9,86.5,0,2724,24
Centre (Ouaga),2013,28,69.2,30.4,80.7,0,2118,9
Centre (Ouaga),2013,29,88.0,27.4,91.7,0,2039,9
Centre (Ouaga),2013,30,38.7,29.8,87.8,0,2783,21
Centre (Ouaga),2013,31,102.4,26.3,89.4,0,2977,7
Centre (Ouaga),2013,32,95.9,31.0,77.3,0,2409,28
Centre (Ouaga),2013,33,37.9,26.0,89.5,0,2272,29
Centre (Ouaga),2013,34,52.5,31.9,85.9,0,1931,26
Centre (Ouaga),2013,35,54.3,30.5,80.9,0,2971,8
Centre (Ouaga),2013,36,108.1,32.0,78.0,0,2614,29
Centre (Ouaga),2013,37,38.4,27.2,94.8,0,1881,24
Centre (Ouaga),2013,38,30.0,25.0,88.0,0,2059,99
Centre (Ouaga),2013,39,105.3,26.7,94.1,0,1888,31
Centre (Ouaga),2013,40,68.3,25.5,75.5,0,1999,45
Centre (Ouaga),2013,41,1.3,31.6,75.8,0,1785,43
Centre (Ouaga),2013,42,4.5,31.7,92.4,0,1988,85
Centre (Ouaga),2013,43,3.0,29.8,76.8,0,2412,45
Centre (Ouaga),2013,44,2.2,28.4,80.6,0,2303,35
Centre (Ouaga),2013,45,1.0,32.1,79.8,0,2684,77
Centre (Ouaga),2013,46,0.8,27.9,86.0,0,2665,69
Centre (Ouaga),2013,47,3.6,25.5,84.2,0,356,20
Centre (Ouaga),2013,48,2.7,25.1,88.5,0,446,17
Centre (Ouaga),2013,49,3.0,26.9,86.9,0,540,19
Centre (Ouaga),2013,50,1.7,27.7,94.4,0,537,6
Centre (Ouaga),2013,51,1.4,26.6,91.9,0,506,23
Centre (Ouaga),2013,52,1.6,28.4,91.4,0,543,14
Centre (Ouaga),2014,1,3.0,33.0,81.8,0,341,26
Centre (Ouaga),2014,2,0.2,27.7,84.2,0,448,15
Centre (Ouaga),2014,3,3.9,30.1,78.0,0,414,19
Centre (Ouaga),2014,4,2.6,26.7,93.3,0,565,5
Centre (Ouaga),2014,5,1.9,26.9,94.2,0,469,15
Centre (Ouaga),2014,6,0.5,28.0,75.4,0,386,20
Centre (Ouaga),2014,7,0.8,29.0,82.7,0,548,25
Centre (Ouaga),2014,8,4.6,27.4,75.0,0,478,23
Centre (Ouaga),2014,9,3.2,30.8,75.7,0,553,24
Centre (Ouaga),2014,10,4.3,39.0,81.1,0,514,22
Centre (Ouaga),2014,11,4.2,37.9,76.8,0,338,20
Centre (Ouaga),2014,12,0.8,38.4,87.5,0,344,13
Centre (Ouaga),2014,13,4.2,36.7,89.3,0,327,6
Centre (Ouaga),2014,14,2.3,39.4,83.6,0,484,22
Centre (Ouaga),2014,15,3.5,40.1,84.8,0,486,27
Centre (Ouaga),2014,16,4.0,34.2,76.7,0,576,10
Centre (Ouaga),2014,17,0.0,38.6,86.7,0,499,28
Centre (Ouaga),2014,18,1.8,36.3,82.1,0,337,27
Centre (Ouaga),2014,19,0.3,26.4,85.7,0,423,15
Centre (Ouaga),2014,20,2.8,28.8,91.5,0,506,16
Centre (Ouaga),2014,21,1.4,28.6,84.1,0,298,15
Centre (Ouaga),2014,22,58.8,26.2,92.9,0,417,13
Centre (Ouaga),2014,23,102.2,29.7,76.0,0,354,19
Centre (Ouaga),2014,24,111.2,27.0,79.9,0,536,16
Centre (Ouaga),2014,25,62.3,33.0,85.2,0,528,25
Centre (Ouaga),2014,26,43.6,27.6,89.0,0,2686,28
Centre (Ouaga),2014,27,104.7,29.5,87.0,0,1921,18
Centre (Ouaga),2014,28,33.4,29.0,93.6,0,2095,27
Centre (Ouaga),2014,29,115.1,29.9,87.8,0,2680,28
Centre (Ouaga),2014,30,23.8,26.8,91.4,0,2005,13
Centre (Ouaga),2014,31,102.7,29.9,86.9,0,1732,24
Centre (Ouaga),2014,32,80.4,25.4,76.5,0,2847,29
Centre (Ouaga),2014,33,45.6,28.2,77.0,0,2707,28
Centre (Ouaga),2014,34,45.7,25.1,84.7,0,2223,12
Centre (Ouaga),2014,35,88.9,29.3,86.3,0,1717,5
Centre (Ouaga),2014,36,88.5,26.9,84.5,0,2653,20
Centre (Ouaga),2014,37,99.9,29.6,79.8,0,2869,19
Centre (Ouaga),2014,38,26.7,25.7,94.5,0,2936,90
Centre (Ouaga),2014,39,22.6,30.3,83.5,0,2620,84
Centre (Ouaga),2014,40,32.7,29.0,90.4,0,2505,96
Centre (Ouaga),2014,41,2.4,31.7,81.7,0,2506,31
Centre (Ouaga),2014,42,1.3,28.2,81.7,0,2229,37
Centre (Ouaga),2014,43,1.8,27.1,87.4,0,2679,42
Centre (Ouaga),2014,44,4.7,29.3,76.7,0,2792,94
Centre (Ouaga),2014,45,0.7,29.8,76.2,0,2286,33
Centre (Ouaga),2014,46,1.0,30.7,90.2,0,2272,86
Centre (Ouaga),2014,47,4.8,27.8,82.0,0,413,23
Centre (Ouaga),2014,48,3.1,32.6,94.7,0,310,13
Centre (Ouaga),2014,49,4.0,30.4,93.3,0,502,23
Centre (Ouaga),2014,50,0.1,28.5,88.1,0,357,20
Centre (Ouaga),2014,51,4.4,31.5,83.3,0,349,11
Centre (Ouaga),2014,52,4.8,25.6,87.7,0,411,27
Centre (Ouaga),2015,1,4.7,29.1,75.7,0,556,10
Centre (Ouaga),2015,2,3.8,29.6,87.4,0,432,23
Centre (Ouaga),2015,3,2.1,27.3,84.5,0,312,15
Centre (Ouaga),2015,4,1.7,29.5,88.3,0,499,25
Centre (Ouaga),2015,5,4.2,28.5,79.4,0,557,19
Centre (Ouaga),2015,6,5.0,29.3,89.2,0,319,8
Centre (Ouaga),2015,7,1.7,28.1,89.0,0,498,27
Centre (Ouaga),2015,8,4.1,32.8,88.7,0,354,18
Centre (Ouaga),2015,9,0.2,32.7,76.1,0,476,26
Centre (Ouaga),2015,10,3.3,37.9,77.5,0,560,19
Centre (Ouaga),2015,11,2.8,34.9,82.2,0,483,24
Centre (Ouaga),2015,12,1.9,37.4,84.9,0,399,12
