region,annee,semaine_epi,pluviometrie_mm,temperature_moy_c,taux_couverture_milda,campagne_vaccinale_active,cas_paludisme,cas_dengue,date_approx,mois,saison
Centre (Ouaga),2013,1,-0.6783142634134913,-0.5527912097341515,-0.07029789149958307,0,592,7,2013-01-07,1,Sèche
Centre (Ouaga),2013,2,-0.5711184596408291,-0.9882721914807252,0.9886535215646446,0,573,18,2013-01-14,1,Sèche
Centre (Ouaga),2013,3,-0.6670304945953164,-0.5784077380721857,-1.5632457853278354,0,388,27,2013-01-21,1,Sèche
Centre (Ouaga),2013,4,-0.6472838991635101,-0.24539286967774668,1.4747295800203546,0,409,22,2013-01-28,1,Sèche
Centre (Ouaga),2013,5,-0.7037027432543851,-1.1419713615089282,-0.9209309937970748,0,369,21,2013-02-04,2,Sèche
Centre (Ouaga),2013,6,-0.5739394018453728,-1.0907383048328607,0.641456336953423,0,314,16,2013-02-11,2,Sèche
Centre (Ouaga),2013,7,-0.5852231706635478,0.010772413702590895,-0.8514915568748319,0,456,16,2013-02-18,2,Sèche
Centre (Ouaga),2013,8,-0.638821072549879,-0.21977634133971255,-0.1744570468829486,0,447,10,2013-02-25,2,Sèche
Centre (Ouaga),2013,9,-0.5767603440499166,-0.7577234364384218,-1.0077302899498801,0,306,11,2013-03-04,3,Sèche
Centre (Ouaga),2013,10,-0.6811352056180351,2.1113277374213597,-1.4417267707139074,0,522,26,2013-03-11,3,Sèche
Centre (Ouaga),2013,11,-0.6867770900271225,2.6492748325200672,-1.5632457853278354,0,300,16,2013-03-18,3,Sèche
Centre (Ouaga),2013,12,-0.616253534913529,2.7005078891961354,0.5546570408006175,0,438,14,2013-03-25,3,Sèche
Centre (Ouaga),2013,13,-0.6134325927089853,1.983245095731191,1.7177676092482108,0,476,7,2013-04-01,4,Sèche
Centre (Ouaga),2013,14,-0.6190744771180727,1.3172153589423128,-0.556373949955293,0,573,9,2013-04-08,4,Sèche
Centre (Ouaga),2013,15,-0.6331791881407914,1.5733806423226504,-0.8167718384137093,0,451,16,2013-04-15,4,Sèche
Centre (Ouaga),2013,16,-0.6106116505044415,1.0866666039000095,0.8671345069507166,0,349,25,2013-04-22,4,Sèche
Centre (Ouaga),2013,17,-0.6698514367998601,2.4443426058157978,-0.747332401491464,0,522,27,2013-04-29,4,Sèche
Centre (Ouaga),2013,18,-0.6867770900271225,1.3172153589423128,-1.4070070522527847,0,546,26,2013-05-06,5,Pluvieuse
Centre (Ouaga),2013,19,-0.6247163615271603,0.5743360371393342,0.346338730033884,0,514,6,2013-05-13,5,Pluvieuse
Centre (Ouaga),2013,20,-0.5711184596408291,0.4974864521252319,-1.0250901491804427,0,483,27,2013-05-20,5,Pluvieuse
Centre (Ouaga),2013,21,-0.5767603440499166,-0.783339964776456,-0.6084535276469758,0,579,15,2013-05-27,5,Pluvieuse
Centre (Ouaga),2013,22,1.6658887085623584,-0.09169369964954377,-0.10501760996070328,0,498,19,2013-06-03,6,Pluvieuse
Centre (Ouaga),2013,23,2.4444687570164314,0.010772413702590895,1.5441690169426,0,427,22,2013-06-10,6,Pluvieuse
Centre (Ouaga),2013,24,0.012816576699725555,-0.5784077380721857,0.6761760554145456,0,346,28,2013-06-17,6,Pluvieuse
Centre (Ouaga),2013,25,1.8210405298122643,-0.19415981300167934,1.3358507061758664,0,320,28,2013-06-24,6,Pluvieuse
Centre (Ouaga),2013,26,2.2554656293120003,-0.8858060781285906,1.683047890787088,0,2173,16,2013-07-01,7,Pluvieuse
Centre (Ouaga),2013,27,0.37953906329041204,-0.3990920397059496,0.25953943388107853,0,2724,24,2013-07-08,7,Pluvieuse
Centre (Ouaga),2013,28,1.2427473778807971,-0.014844114635443224,-0.747332401491464,0,2118,9,2013-07-15,7,Pluvieuse
Centre (Ouaga),2013,29,1.7730845123350205,-0.783339964776456,1.1622521138702555,0,2039,9,2013-07-22,7,Pluvieuse
Centre (Ouaga),2013,30,0.38236000549495586,-0.1685432846636452,0.48521760387837215,0,2783,21,2013-07-29,7,Pluvieuse
Centre (Ouaga),2013,31,2.17930018978932,-1.0651217764948266,0.762975351567351,0,2977,7,2013-08-05,8,Pluvieuse
Centre (Ouaga),2013,32,1.9959389464939763,0.13885505539275966,-1.3375676153305418,0,2409,28,2013-08-12,8,Pluvieuse
Centre (Ouaga),2013,33,0.3597924678586058,-1.1419713615089282,0.7803352107979111,0,2272,29,2013-08-19,8,Pluvieuse
Centre (Ouaga),2013,34,0.7716500297219921,0.3694038104350631,0.15538027849771302,0,1931,26,2013-08-26,8,Pluvieuse
Centre (Ouaga),2013,35,0.8224269894037795,0.010772413702590895,-0.7126126830303413,0,2971,8,2013-09-02,9,Pluvieuse
Centre (Ouaga),2013,36,2.340093895448313,0.3950203387730972,-1.2160486007166138,0,2614,29,2013-09-09,9,Pluvieuse
Centre (Ouaga),2013,37,0.3738971788813245,-0.8345730214525232,1.7004077500176482,0,1881,24,2013-09-16,9,Pluvieuse
Centre (Ouaga),2013,38,0.13693803369965019,-1.3981366448892656,0.5199373223394949,0,2059,99,2013-09-23,9,Pluvieuse
Centre (Ouaga),2013,39,2.261107513721088,-0.962655663142692,1.57888873540372,0,1888,31,2013-09-30,9,Pluvieuse
Centre (Ouaga),2013,40,1.2173588980399033,-1.270054003199097,-1.6500450814806409,0,1999,45,2013-10-07,10,Pluvieuse
Centre (Ouaga),2013,41,-0.6726723790044038,0.2925542254209626,-1.5979655037889582,0,1785,43,2013-10-14,10,Pluvieuse
Centre (Ouaga),2013,42,-0.5824022284590041,0.3181707537589958,1.2837711284841835,0,1988,85,2013-10-21,10,Pluvieuse
Centre (Ouaga),2013,43,-0.6247163615271603,-0.1685432846636452,-1.4243669114833473,0,2412,45,2013-10-28,10,Pluvieuse
Centre (Ouaga),2013,44,-0.6472838991635101,-0.5271746813961183,-0.7646922607220265,0,2303,35,2013-11-04,11,Sèche
Centre (Ouaga),2013,45,-0.6811352056180351,0.42063686711113135,-0.9035711345665147,0,2684,77,2013-11-11,11,Sèche
Centre (Ouaga),2013,46,-0.6867770900271225,-0.6552573230862871,0.1727401377282731,0,2665,69,2013-11-18,11,Sèche
Centre (Ouaga),2013,47,-0.6077907082998978,-1.270054003199097,-0.13973732842182593,0,356,20,2013-11-25,11,Sèche
Centre (Ouaga),2013,48,-0.6331791881407914,-1.3725201165512315,0.6067366184923002,0,446,17,2013-12-02,12,Sèche
Centre (Ouaga),2013,49,-0.6247163615271603,-0.9114226064666247,0.3289788708033239,0,540,19,2013-12-09,12,Sèche
Centre (Ouaga),2013,50,-0.661388610186229,-0.7064903797623544,1.6309683130954054,0,537,6,2013-12-16,12,Sèche
Centre (Ouaga),2013,51,-0.6698514367998601,-0.9882721914807252,1.196971832331378,0,506,23,2013-12-23,12,Sèche
Centre (Ouaga),2013,52,-0.6642095523907726,-0.5271746813961183,1.1101725361785728,0,543,14,2013-12-30,12,Sèche
Centre (Ouaga),2014,1,-0.6247163615271603,0.6511856221534348,-0.556373949955293,0,341,26,2014-01-06,1,Sèche
Centre (Ouaga),2014,2,-0.7037027432543851,-0.7064903797623544,-0.13973732842182593,0,448,15,2014-01-13,1,Sèche
